,rates
AED,3.742703
AFN,89.887698
ALL,118.83066
AMD,414.59214
ANG,1.836787
AOA,436.489466
ARS,144.049057
AUD,1.480449
AWG,1.836709
AZN,1.697792
BAM,1.978614
BBD,2.057756
BDT,96.843345
BGN,1.95676
BHD,0.3841
BIF,2103.503644
BMD,1.018978
BND,1.424141
BOB,7.04219
BRL,5.245191
BSD,1.019156
BTC,4.5823421e-05
BTN,80.969464
BWP,13.16738
BYN,2.572421
BYR,19971.978092
BZD,2.054316
CAD,1.322889
CDF,2072.602035
CHF,0.972574
CLF,0.033438
CLP,922.664676
CNY,7.057956
COP,4435.613298
CRC,663.459225
CUC,1.018978
CUP,27.00293
CVE,111.5517
CZK,24.561477
DJF,181.432748
DKK,7.436362
DOP,54.183515
DZD,143.117593
EGP,19.708878
ERN,15.284677
ETB,53.811116
EUR,1.0
FJD,2.288371
FKP,0.839236
GBP,0.871466
GEL,2.883539
GGP,0.839236
GHS,10.24234
GIP,0.839236
GMD,55.643291
GNF,8818.301822
GTQ,7.93388
GYD,213.215159
HKD,7.997575
HNL,25.125053
HRK,7.523835
HTG,121.785758
HUF,394.948929
IDR,15127.805375
ILS,3.449262
IMP,0.839236
INR,81.034212
IQD,1487.44787
IRR,43204.687135
ISK,140.716653
JEP,0.839236
JMD,154.607852
JOD,0.722432
JPY,145.394468
KES,122.682509
KGS,83.631134
KHR,4195.793717
KMF,499.859421
KPW,917.080984
KRW,1402.394615
KWD,0.314039
KYD,0.849279
KZT,482.819638
LAK,16041.719406
LBP,1540.943873
LKR,366.888903
LRD,156.922749
LSL,17.638992
LTL,3.008779
LVL,0.61637
LYD,5.050657
MAD,10.94756
MDL,19.75083
MGA,4285.551981
MKD,61.529135
MMK,2140.226786
MNT,3255.597058
MOP,8.238971
MRO,363.77514
MUR,44.838712
MVR,15.789168
MWK,1040.761735
MXN,20.202359
MYR,4.588468
MZN,65.040894
NAD,17.639018
NGN,443.766504
NIO,36.628857
NOK,9.97663
NPR,129.556651
NZD,1.656941
OMR,0.391807
PAB,1.019135
PEN,3.958482
PGK,3.591158
PHP,57.905502
PKR,232.622297
PLN,4.706887
PYG,7059.528596
QAR,3.710074
RON,4.904542
RSD,117.335304
RUB,61.622694
RWF,1054.867438
SAR,3.828958
SBD,8.348974
SCR,13.374699
SDG,586.931474
SEK,10.643844
SGD,1.421704
SHP,1.403541
SLL,14607.056604
SOS,578.267576
SRD,27.403899
STD,21090.797104
SVC,8.917687
SYP,2560.214362
SZL,17.585542
THB,37.002146
TJS,10.461255
TMT,3.576614
TND,3.260224
TOP,2.406518
TRY,18.587028
TTD,6.92403
TWD,31.400329
TZS,2376.258041
UAH,37.639657
UGX,3887.969731
USD,1.018978
UYU,41.728501
UZS,11187.655157
VND,23971.468603
VUV,118.258646
WST,2.718085
XAF,663.61147
XAG,0.052913
XAU,0.00059
XCD,2.753841
XDR,0.785561
XOF,663.61147
XPF,121.512885
YER,254.999309
ZAR,17.407158
ZMK,9172.024445
ZMW,15.797067
ZWL,328.110653
